Age,Occupation,Residence_Area,Movement_Frequency,Active_Times,Primary_Transport_Mode,Vehicle_Type,Delay_Causes,Accident_Frequency,Accident_Causes,Safety_Rating,Traffic_Regulations_Enforcement,Traffic_Changes,Traffic_Volume(target)
18 - 25,Student,East,Daily,Morning rush hour,Walking,Car,Road construction,Never,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,0
18 - 25,Student,East,Occasionally,Early morning;Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,Poor road conditions,Neutral,Yes,Improvement,0
18 - 25,Employed (full-time),North,Occasionally,Early morning;Morning rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,Improvement,0
26 - 35,Employed (full-time),East,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,0
26 - 35,Retired,South,Occasionally,Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,0
18 - 25,Employed (full-time),West,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);poor driving skills",Very safe,Yes,No change,0
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Rarely,Poor road conditions,Very safe,Yes,No change,0
46 - 55,Student,North,Daily,Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Weather conditions",Somewhat unsafe,Maybe,Improvement,0
36 - 45,Student,South,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Truck,Accidents;Non adherence to traffic rules,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Yes,Improvement,0
18 - 25,Employed (full-time),North,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;Incorrect Road design ,Often,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
36 - 45,Employed (full-time),East,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,0
26 - 35,Employed (full-time),East,Occasionally,Evening rush hour,Public transit (bus),Truck,Heavy traffic due to peak hours,Rarely,Poor road conditions,Somewhat safe,No,Improvement,0
18 - 25,Employed (full-time),North,Occasionally,Early morning;Morning rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,Improvement,0
18 - 25,Employed (full-time),West,Daily,Early morning;Morning rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,0
18 - 25,Employed (full-time),East,Several times a week,Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,0
18 - 25,Student,North,Several times a week,Early morning,Car,SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,0
36 - 45,Self-employed,East,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,0
26 - 35,Employed (part-time),West,Daily,Morning rush hour,Public transit (bus),SUV,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,0
18 - 25,Student,East,Occasionally,Evening rush hour;Late at  night,Taxi / Uber,Car,Heavy traffic due to peak hours,Rarely,Poor road conditions,Very safe,Yes,Improvement,0
46 - 55,Student,East,Occasionally,Morning rush hour;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Student,East,Several times a week,Morning rush hour;Mid day;Late at  night,Car,Car,Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,0
26 - 35,Student,West,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car,Road construction,Rarely,"Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,0
26 - 35,Student,West,Daily,Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,Improvement,0
26 - 35,Student,West,Several times a week,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Student,West,Occasionally,Early morning;Evening rush hour,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,0
18 - 25,Student,North,Several times a week,Early morning,Car,SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,0
46 - 55,Employed (full-time),North,Daily,Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,0
18 - 25,Employed (part-time),North,Daily,Evening rush hour,Car,Car,Road construction,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Employed (full-time),North,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,0
26 - 35,Employed (full-time),South,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Never,Poor road conditions,Very safe,Yes,No change,0
18 - 25,Employed (full-time),West,Daily,Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,0
36 - 45,Employed (part-time),North,Several times a week,Mid day,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,0
36 - 45,Student,South,Daily,Evening rush hour,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Yes,Improvement,0
26 - 35,Employed (full-time),North,Daily,Mid day;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,Poor road conditions,Neutral,Yes,Improvement,0
18 - 25,Student,West,Occasionally,Early morning;Mid day,Car,SUV,Accidents,Never,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,No change,0
18 - 25,Employed (part-time),North,Several times a week,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,0
18 - 25,Student,North,Daily,Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Often,Poor road conditions,Neutral,Maybe,No change,0
26 - 35,Student,North,Occasionally,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,Improvement,0
18 - 25,Student,East,Daily,Early morning;Morning rush hour;Evening rush hour,Car,SUV,Accidents;Heavy traffic due to peak hours,Rarely,Speeding,Very safe,Yes,Improvement,0
36 - 45,Student,North,Occasionally,Early morning;Mid day;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Employed (full-time),North,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,0
46 - 55,Student,East,Daily,Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Rarely,Speeding;Weather conditions,Neutral,No,No change,0
26 - 35,Employed (full-time),East,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,Speeding,Very safe,Yes,No change,0
18 - 25,Employed (full-time),East,Several times a week,Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,0
36 - 45,Student,North,Occasionally,Morning rush hour;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,0
36 - 45,Student,East,Occasionally,Evening rush hour;Late at  night,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,0
18 - 25,Student,North,Daily,Mid day;Evening rush hour;Late at  night,Car,Car;SUV;Truck,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,0
36 - 45,Employed (part-time),North,Daily,Mid day,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,No,No change,0
18 - 25,Employed (full-time),East,Several times a week,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,0
26 - 35,Employed (full-time),South,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Truck,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,0
18 - 25,Employed (full-time),West,Daily,Mid day,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,Improvement,0
18 - 25,Employed (full-time),West,Daily,Early morning;Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Maybe,No change,0
46 - 55,Employed (part-time),West,Daily,Morning rush hour,Car,Motorcycle,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,0
18 - 25,Employed (full-time),South,Daily,Early morning;Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,Improvement,0
26 - 35,Self-employed,South,Occasionally,Early morning;Late at  night,Motorcycle,Motorcycle,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,0
18 - 25,Student,South,Daily,Early morning;Evening rush hour;Late at  night,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,0
18 - 25,Employed (full-time),South,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;Closed entries to the main rounds case people to fight over how will get in first through the one entry opened  ,Never,Speeding;Weather conditions,Neutral,Yes,Improvement,0
56 and above,Employed (full-time),West,Several times a week,Early morning;Evening rush hour,Motorcycle,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Yes,Improvement,0
18 - 25,Employed (full-time),West,Daily,Mid day,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,Improvement,0
18 - 25,Student,South,Several times a week,Evening rush hour,Car,Car,Road construction,Never,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,0
18 - 25,Student,East,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat safe,Yes,No change,0
18 - 25,Doctor ,East,Daily,Early morning;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Never,Poor road conditions,Neutral,No,No change,0
36 - 45,Student,North,Daily,Early morning;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Neutral,Yes,No change,0
18 - 25,Student,South,Several times a week,Mid day;Evening rush hour,Walking,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,0
18 - 25,Student,East,Daily,Early morning;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction,Never,Speeding;Poor road conditions,Very safe,No,Improvement,0
18 - 25,Student,North,Daily,Morning rush hour;Mid day;Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,Yes,No change,0
18 - 25,Student,East,Occasionally,Morning rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,0
36 - 45,Student,West,Daily,Evening rush hour,Car,SUV,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,0
36 - 45,Student,South,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Truck,Accidents;Non adherence to traffic rules,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Yes,Improvement,0
18 - 25,Student,East,Daily,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use);Weather conditions",Very safe,Maybe,No change,0
18 - 25,Student,North,Daily,Morning rush hour;Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,0
46 - 55,Employed (full-time),West,Several times a week,Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,0
26 - 35,Employed (full-time),North,Daily,Mid day;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,Poor road conditions,Neutral,Yes,Improvement,0
18 - 25,Employed (full-time),West,Daily,Mid day;Evening rush hour;Late at  night,Public transit (bus),Car,Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
36 - 45,Student,North,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,Traffic ,Neutral,No,No change,0
56 and above,Employed (full-time),South,Several times a week,Early morning;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Very unsafe,Yes,No change,0
36 - 45,Student,North,Occasionally,Early morning;Mid day;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Employed (full-time),East,Daily,Early morning;Evening rush hour,Bicycle,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,0
18 - 25,Employed (full-time),South,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;Closed entries to the main rounds case people to fight over how will get in first through the one entry opened  ,Never,Speeding;Weather conditions,Neutral,Yes,Improvement,0
46 - 55,Employed (part-time),East,Daily,Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Never,Poor road conditions,Very safe,Maybe,Improvement,0
18 - 25,Student,North,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,Improvement,0
36 - 45,Student,West,Several times a week,Evening rush hour,Car,SUV,Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Weather conditions",Somewhat safe,Yes,Improvement,0
18 - 25,Student,West,Several times a week,Mid day,Car,SUV,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,0
26 - 35,Student,West,Several times a week,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
36 - 45,Employed (full-time),East,Several times a week,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,Improvement,0
46 - 55,Student,North,Several times a week,Evening rush hour;Late at  night,Car,Car;SUV;Truck;Motorcycle,Accidents;Heavy traffic due to peak hours,Often,Speeding,Somewhat unsafe,Yes,Improvement,0
26 - 35,Student,West,Several times a week,Evening rush hour,Car,SUV;Truck,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;neglected drivers, no many entries to the main roads so people fight through one entry ",Somewhat safe,No,No change,0
18 - 25,Student,West,Occasionally,Early morning;Evening rush hour,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,0
56 and above,Employed (full-time),South,Several times a week,Early morning;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Very unsafe,Yes,No change,0
26 - 35,Employed (full-time),South,Daily,Morning rush hour;Late at  night,Car,Truck,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,0
18 - 25,Student,North,Daily,Early morning;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Maybe,No change,0
18 - 25,Student,North,Daily,Morning rush hour;Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,0
18 - 25,Employed (full-time),North,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,No,No change,0
18 - 25,Student,East,Several times a week,Early morning,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,0
46 - 55,Student,West,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Road construction,Never,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,0
26 - 35,Retired,East,Daily,Evening rush hour,Walking,Car;SUV,Accidents;Heavy traffic due to peak hours,Never,Speeding,Somewhat unsafe,Yes,No change,0
18 - 25,Student,West,Occasionally,Early morning;Evening rush hour,Bicycle,Motorcycle,Accidents,Often,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,0
46 - 55,Student,North,Daily,Early morning,Car,Car,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Very safe,Maybe,Improvement,0
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Very unsafe,Yes,No change,0
18 - 25,Student,North,Daily,Morning rush hour;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Student,South,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,0
36 - 45,Employed (full-time),South,Daily,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,Weather conditions,Somewhat safe,Yes,No change,0
18 - 25,Student,East,Occasionally,Early morning;Evening rush hour;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use)",Very safe,No,No change,0
18 - 25,Student,East,Occasionally,Mid day,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Very unsafe,Maybe,No change,0
18 - 25,Student,North,Daily,Early morning;Morning rush hour;Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Weather conditions",Neutral,Yes,Improvement,0
18 - 25,Student,East,Occasionally,Morning rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,0
18 - 25,Employed (full-time),North,Daily,Early morning;Mid day;Late at  night,Car,Car,Accidents,Often,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,0
18 - 25,Student,North,Daily,Early morning,Car,Car,Accidents;Heavy traffic due to peak hours,Never,Speeding;Poor road conditions,Somewhat safe,Yes,No change,0
18 - 25,Student,West,Daily,Early morning,Car,Car;SUV,Heavy traffic due to peak hours,Never,Poor road conditions,Very safe,Yes,No change,0
26 - 35,Employed (full-time),West,Several times a week,Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,0
46 - 55,Employed (full-time),North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,0
18 - 25,Employed (full-time),West,Daily,Mid day,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,0
46 - 55,Student,East,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Never,Speeding;محد ملتزم بالنظام ويمشي بسرعه لأنه مب لحاله بالطريق,Neutral,Maybe,No change,0
18 - 25,Employed (full-time),North,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;Incorrect Road design ,Often,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Student,West,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,0
26 - 35,Student,West,Several times a week,Evening rush hour,Car,SUV;Truck,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;neglected drivers, no many entries to the main roads so people fight through one entry ",Somewhat safe,No,No change,0
18 - 25,Student,North,Daily,Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Often,Poor road conditions,Neutral,Maybe,No change,0
36 - 45,Student,West,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use);Weather conditions",Neutral,Yes,No change,0
18 - 25,Student,North,Daily,Early morning,Car,Car,Accidents;Heavy traffic due to peak hours,Never,Speeding;Poor road conditions,Somewhat safe,Yes,No change,0
36 - 45,Student,East,Daily,Early morning,Walking,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
36 - 45,Student,South,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Truck,Accidents;Non adherence to traffic rules,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Yes,Improvement,0
18 - 25,Employed (full-time),North,Daily,Early morning;Morning rush hour,Walking,Car,Accidents;Road construction,Often,Speeding,Very safe,No,No change,0
18 - 25,Student,North,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,0
18 - 25,Student,South,Daily,Early morning;Evening rush hour;Late at  night,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,0
18 - 25,Student,East,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Maybe,No change,0
46 - 55,Student,North,Several times a week,Evening rush hour;Late at  night,Car,Car;SUV;Truck;Motorcycle,Accidents;Heavy traffic due to peak hours,Often,Speeding,Somewhat unsafe,Yes,Improvement,0
36 - 45,Student,North,Occasionally,Early morning;Mid day;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,0
18 - 25,Employed (full-time),West,Daily,Early morning;Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Maybe,No change,0
46 - 55,Employed (full-time),North,Several times a week,Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,Improvement,0
18 - 25,Student,East,Several times a week,Evening rush hour,Car,Car,Accidents;Road construction,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,0
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Very unsafe,Yes,No change,0
18 - 25,Employed (full-time),North,Daily,Early morning;Mid day;Late at  night,Car,Car,Accidents,Often,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,0
18 - 25,Student,West,Occasionally,Early morning;Mid day,Car,SUV,Accidents,Never,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,No change,0
26 - 35,Employed (full-time),East,Daily,Early morning;Morning rush hour;Evening rush hour,Public transit (bus),SUV,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use);Weather conditions",Somewhat safe,No,Improvement,0
18 - 25,Student,East,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Poor road conditions;Weather conditions,Somewhat safe,Maybe,No change,0
18 - 25,Employed (full-time),West,Daily,Early morning;Mid day,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Very unsafe,Maybe,No change,0
18 - 25,Employed (part-time),North,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,0
26 - 35,Student,North,Daily,Morning rush hour;Evening rush hour,Car,Car,Road construction,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Maybe,No change,0
26 - 35,Student,West,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car,Road construction,Rarely,"Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,0
18 - 25,Student,East,Daily,Morning rush hour,Walking,Car,Road construction,Never,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,0
36 - 45,Student,North,Several times a week,Early morning;Mid day,Car,Car,Road construction,Sometimes,Poor road conditions,Very safe,Maybe,No change,0
